11-08-2022 19:46:57.049,-,AT,"End Device,0013A20041F410A6,802.15.4 TH PRO,2003,COM7 - 230400/8/N/1/N,1,45"

11-08-2022 19:46:57.143,2237,RECV,3331363830302C323132392C36372E30302C32352E30310D0A
11-08-2022 19:46:57.143,2238,RECV,3331363930362C323132392C36372E30302C32352E30350D0A
11-08-2022 19:46:57.222,2239,RECV,3331373035372C323332312C36372E30302C32352E33310D0A
11-08-2022 19:46:57.347,2240,RECV,3331373230382C323332362C36372E30302C32352E31360D0A
11-08-2022 19:46:57.473,2241,RECV,3331373331352C323332362C36372E30302C32352E33330D0A
11-08-2022 19:46:57.630,2242,RECV,3331373432322C323332362C36372E30302C32352E32320D0A
11-08-2022 19:46:57.661,2243,RECV,3331373533302C323332362C36372E30302C32342E38350D0A
11-08-2022 19:46:57.787,2244,RECV,3331373633362C323332362C36372E30302C32342E33330D0A
11-08-2022 19:46:57.849,2245,RECV,3331373734342C323332362C36372E30302C32342E33310D0A
11-08-2022 19:46:58.038,2246,RECV,3331373839342C323332362C36382E30302C32342E35330D0A
11-08-2022 19:46:58.163,2247,RECV,3331383030322C323332362C36382E30302C32342E33330D0A
11-08-2022 19:46:58.289,2248,RECV,3331383135322C323334392C36382E30302C32342E35370D0A
11-08-2022 19:46:58.416,2249,RECV,3331383330332C323235342C36382E30302C32342E39370D0A
11-08-2022 19:46:58.603,2250,RECV,3331383435332C323331332C36382E30302C32342E36370D0A
11-08-2022 19:46:58.665,2251,RECV,3331383536312C323331332C36382E30302C32342E32390D0A
11-08-2022 19:46:58.791,2252,RECV,3331383636382C323331332C36382E30302C32332E38370D0A
11-08-2022 19:46:58.916,2253,RECV,3331383736372C323331332C36382E30302C32332E37360D0A
11-08-2022 19:46:59.042,2254,RECV,3331383836392C323331332C36382E30302C32332E37360D0A
11-08-2022 19:46:59.105,2255,RECV,3331383937362C323331332C36382E30302C32332E37320D0A
11-08-2022 19:46:59.230,2256,RECV,3331393038332C323331332C36382E30302C32332E37310D0A
11-08-2022 19:46:59.356,2257,RECV,3331393139302C323331332C36382E30302C32342E32310D0A
